condition,family,seed,method,actual_estimator,status,age,truth,fitted_rate_sd,rate_variance_estimated,interval_status,interval_available,lower,upper,width,covered
t4-s2000-sd03,26,91300026,laplace,marginal,completed,19.56117573481532,20.0,0.186014526442936,True,conditional-laplace,True,16.226089168249757,22.896262301380894,6.6701731331311365,True
t4-s2000-sd03,26,91300026,studentized,marginal,completed,19.56117573481532,20.0,0.186014526442936,True,conditional-studentized-curvature,True,14.485257027277,29.098534530873287,14.613277503596288,True
t4-s2000-sd03,27,91300027,laplace,joint-map,completed,21.06095365545884,20.0,0.2580239149441606,True,conditional-laplace,True,15.932963622480797,26.188943688436886,10.255980065956091,True
t4-s2000-sd03,27,91300027,studentized,joint-map,completed,21.06095365545884,20.0,0.2580239149441606,True,conditional-studentized-curvature,True,14.449620670786752,34.66356199465371,20.21394132386696,True
t4-s2000-sd03,28,91300028,laplace,joint-map,completed,24.23537233732013,20.0,0.2123682423265957,True,conditional-laplace,True,18.738500172610717,29.732244502029538,10.993744329418824,True
t4-s2000-sd03,28,91300028,studentized,joint-map,completed,24.23537233732013,20.0,0.2123682423265957,True,conditional-studentized-curvature,True,16.628579844419214,37.67394270086729,21.04536285644808,True
t4-s2000-sd03,29,91300029,laplace,joint-map,completed,21.81761296704048,20.0,0.1016480988020226,True,conditional-laplace,True,19.171041568585984,24.46418436549497,5.293142796908988,True
t4-s2000-sd03,29,91300029,studentized,joint-map,completed,21.81761296704048,20.0,0.1016480988020226,True,conditional-studentized-curvature,True,17.674257251639112,27.71657279958273,10.042315547943616,True
t4-s2000-sd03,30,91300030,laplace,joint-map,completed,15.67923720050624,20.0,0.3496850861017244,True,conditional-laplace,True,12.161516756550924,19.196957644461563,7.035440887910639,False
t4-s2000-sd03,30,91300030,studentized,joint-map,completed,15.67923720050624,20.0,0.3496850861017244,True,conditional-studentized-curvature,True,11.721409164329025,26.98591323928804,15.264504074959016,True
t4-s2000-sd03,31,91300031,laplace,joint-map,completed,19.311737558944746,20.0,0.1730054881795703,True,conditional-laplace,True,16.232316298364086,22.3911588195254,6.158842521161315,True
t4-s2000-sd03,31,91300031,studentized,joint-map,completed,19.311737558944746,20.0,0.1730054881795703,True,conditional-studentized-curvature,True,14.917067847144803,26.85603657712872,11.938968729983914,True
t4-s2000-sd03,32,91300032,laplace,joint-map,completed,22.561830977174345,20.0,0.3153971818114395,True,conditional-laplace,True,15.606307841420456,29.517354112928235,13.91104627150778,True
t4-s2000-sd03,32,91300032,studentized,joint-map,completed,22.561830977174345,20.0,0.3153971818114395,True,conditional-studentized-curvature,True,14.166350853153205,41.63887967202341,27.47252881887021,True
t4-s2000-sd03,33,91300033,laplace,joint-map,completed,19.45879426699808,20.0,0.2761053890566337,True,conditional-laplace,True,14.786005897851489,24.131582636144667,9.34557673829318,True
t4-s2000-sd03,33,91300033,studentized,joint-map,completed,19.45879426699808,20.0,0.2761053890566337,True,conditional-studentized-curvature,True,13.604197201276335,32.36198138255743,18.757784181281096,True
t4-s2000-sd03,34,91300034,laplace,joint-map,completed,20.658618943893664,20.0,0.2063557237595296,True,conditional-laplace,True,16.62821554538871,24.689022342398623,8.060806797009914,True
t4-s2000-sd03,34,91300034,studentized,joint-map,completed,20.658618943893664,20.0,0.2063557237595296,True,conditional-studentized-curvature,True,15.103015464679132,30.781979645953573,15.67896418127444,True
t4-s2000-sd03,35,91300035,laplace,joint-map,completed,20.656377426420683,20.0,0.1919566805831174,True,conditional-laplace,True,16.824360343831806,24.48839450900956,7.664034165177753,True
t4-s2000-sd03,35,91300035,studentized,joint-map,completed,20.656377426420683,20.0,0.1919566805831174,True,conditional-studentized-curvature,True,15.295061714619155,30.15447277176129,14.85941105714214,True
